X,Y,Z,A,T,S
-0.01,0.98,-0.10,0.00,0.10,17
-0.02,0.99,-0.11,0.00,0.10,17
-0.02,0.98,-0.11,0.00,0.10,17
-0.01,0.98,-0.11,0.00,0.10,17
-0.01,0.98,-0.11,0.00,0.10,17
-0.02,0.99,-0.12,0.00,0.10,17
-0.02,0.98,-0.12,0.00,0.10,17
-0.00,0.99,-0.12,0.00,0.10,17
-0.03,0.98,-0.10,0.00,0.10,17
-0.05,0.98,-0.10,0.00,0.10,17
-0.06,0.97,-0.09,0.00,0.10,17
-0.05,0.98,-0.09,0.00,0.10,17
-0.05,1.02,-0.05,0.01,0.10,17
-0.06,1.00,0.02,0.01,0.10,17
-0.03,1.01,0.16,0.01,0.10,17
-0.17,1.01,0.21,0.01,0.10,17
-0.01,0.94,0.27,0.01,0.09,17
-0.00,0.88,0.32,0.00,0.09,17
-0.01,0.80,0.32,0.00,0.09,17
-0.10,0.95,0.42,0.00,0.09,17
-0.11,0.86,0.46,0.00,0.09,17
0.10,1.27,0.35,0.13,0.09,17
0.08,0.66,0.04,0.07,0.10,18
-0.14,1.02,-0.12,0.04,0.10,18
-0.08,1.00,-0.09,0.02,0.10,18
-0.14,0.95,-0.13,0.01,0.10,18
-0.20,0.97,-0.08,0.01,0.09,18
-0.18,0.94,-0.16,0.00,0.09,18
-0.15,0.98,-0.16,0.00,0.09,18
-0.19,1.07,-0.11,0.04,0.09,18
-0.15,1.10,-0.13,0.07,0.09,18
0.12,0.91,-0.01,0.03,0.09,18
-0.07,0.95,0.10,0.02,0.09,18
-0.06,0.87,0.25,0.01,0.09,18
-0.01,0.75,0.18,0.00,0.09,18
-0.06,0.93,0.35,0.00,0.09,18
-0.12,0.95,0.49,0.00,0.09,18
0.10,1.81,0.02,0.41,0.10,18
0.10,0.77,-0.02,0.20,0.10,18
-0.14,0.95,-0.12,0.10,0.10,18
-0.16,0.90,-0.10,0.05,0.10,19
-0.19,0.90,-0.11,0.03,0.10,19
-0.13,0.95,-0.13,0.01,0.10,19
-0.11,1.00,-0.17,0.01,0.10,19
-0.24,0.99,-0.07,0.00,0.10,19
-0.22,1.25,-0.16,0.13,0.10,19
0.17,0.90,-0.01,0.06,0.10,20
-0.15,1.02,0.11,0.04,0.10,20
-0.15,0.87,0.13,0.02,0.10,20
-0.09,0.71,0.25,0.01,0.10,20
0.03,0.96,0.32,0.01,0.10,20
-0.16,0.87,0.46,0.00,0.10,20
0.06,1.93,0.12,0.47,0.11,20
0.11,0.73,-0.06,0.23,0.11,20
-0.03,0.93,-0.13,0.12,0.11,20
-0.17,0.95,-0.12,0.06,0.11,21
-0.16,0.91,-0.10,0.03,0.11,21
-0.11,0.94,-0.13,0.01,0.11,21
-0.14,1.01,-0.19,0.01,0.11,21
-0.35,1.04,-0.17,0.03,0.11,21
-0.16,1.13,-0.17,0.08,0.11,21
0.23,1.07,-0.01,0.08,0.11,21
-0.17,0.87,0.12,0.04,0.11,21
-0.03,0.83,0.25,0.02,0.11,21
