Steps,Delta,SPM,Activity,Secs
3826,6,11,1,9645
3826,0,0,1,9676
3830,4,8,1,9706
3842,12,23,1,9736
3842,0,0,1,9766
3842,0,0,1,9796
3842,0,0,1,9826
3842,0,0,1,9856
3862,20,39,1,9886
3868,6,120,2,9889
3868,0,0,1,9889
3900,32,63,1,9916
3918,18,35,1,9946
3924,6,11,1,9976
3940,16,31,1,10006
3940,0,0,1,10036
3950,10,19,1,10066
3958,8,15,1,10096
3958,0,0,1,10126
3958,0,0,1,10156
3960,2,150,2,10157
3960,0,0,1,10157
3968,8,15,1,10187
3968,0,0,1,10217
3968,0,0,1,10247
3974,6,11,1,10277
3974,0,0,1,10307
3978,4,7,1,10337
4010,32,63,1,10367
4022,12,23,1,10397
4022,0,0,1,10427
4022,0,0,1,10457
4022,0,0,1,10487
4022,0,0,1,10517
4022,0,0,1,10547
4022,0,0,1,10577
4022,0,0,1,10607
4022,0,0,1,10637
4022,0,0,1,10667
4022,0,0,1,10697
4022,0,0,1,10727
4022,0,0,1,10757
4022,0,0,1,10787
4022,0,0,1,10817
4028,6,359,3,10818
4028,0,0,1,10818
4072,44,87,1,10847
4074,2,133,2,10848
4074,0,0,1,10848
4114,40,79,1,10877
4126,12,23,1,10908
4126,0,0,1,10938
4126,0,0,1,10968
4126,0,0,1,10998
4126,0,0,1,11028
4126,0,0,1,11058
4126,0,0,1,11088
4126,0,0,1,11118
4126,0,0,1,11148
4126,0,0,1,11178
4126,0,0,1,11208
4126,0,0,1,11238
4126,0,0,1,11268
4126,0,0,1,11298
4126,0,0,1,11328
4126,0,0,1,11358
4126,0,0,1,11388
4126,0,0,1,11418
4126,0,0,1,11448
4126,0,0,1,11478
4126,0,0,1,11508
4126,0,0,1,11538
4126,0,0,1,11568
4126,0,0,1,11598
4126,0,0,1,11628
4126,0,0,1,11658
4126,0,0,1,11688
4126,0,0,1,11718
4134,8,16,1,11749
4152,18,35,1,11779
4154,2,606,3,11779
4154,0,0,1,11779
4172,18,35,1,11809
4174,2,597,3,11809
4174,0,0,1,11809
4208,34,67,1,11839
4224,16,31,1,11869
4224,0,0,1,11899
4224,0,0,1,11929
4226,2,3,1,11959
4226,0,0,1,11989
4226,0,0,1,12019
4228,2,3,1,12049
4228,0,0,1,12079
4232,4,7,1,12109
4258,26,51,1,12139
4286,28,55,1,12169
4288,2,171,3,12170
4288,0,0,1,12170
4314,26,51,1,12199
4328,14,27,1,12229
4332,4,7,1,12260
4338,6,11,1,12290
4352,14,27,1,12320
4352,0,0,1,12350
4368,16,31,1,12380
4368,0,0,1,12410
